Date;InflationRate
1980-12-31;7.3
1981-12-31;5.9
1982-12-31;4.05
1983-12-31;2.775
1984-12-31;4.6
1985-12-31;3.525
1986-12-31;2.425
1987-12-31;5.675
1988-12-31;6.025
1989-12-31;3.25
1990-12-31;3.65
1991-12-31;4.35
1992-12-31;6.125
1993-12-31;8.275
1994-12-31;5.7
1995-12-31;3.175
1996-12-31;1.775
1997-12-31;1.175
1998-12-31;0.35
1999-12-31;0.725
2000-12-31;1.2
2012-31-01;0.825
2002-12-31;0.775
2003-12-31;1.725
2004-12-31;1.575
2005-12-31;1.65
2006-12-31;2.525
2007-12-31;2.775
2008-12-31;1.825
2009-12-31;0.45
2010-12-31;1.875
2011-12-31;1.975
2012-12-31;1.725
2013-12-31;1.375
2014-12-31;1.675
2015-12-31;0.925
2016-12-31;0.775
2017-12-31;1.55
2018-12-31;2.05
2019-12-31;1.55
2020-12-31;0.65
2021-12-31;2.4
2022-12-31;4.975
2023-12-31;3.825
2024-12-31;3.066666667
